"id_tps"	"name"	"sex"	"set"	"nat"	"age"	"weight"	"height"	"Attractiveness"	"Sextypicality"	"Asymmetry"	"Distinctiveness"	"SATRA"
"15"	"ID40_1_F_CMR13_DSC_0166"	"F"	"CMR13"	"CMR"	20	54.6	164	1.882352941	-0.491657450102429	0.141078797928294	0.0419758067805013	-1.93778294518041
"16"	"ID41_2_F_CMR13_DSC_0204"	"F"	"CMR13"	"CMR"	20	62.3	155	2.909090909	0.259414925127517	0.143212448305034	0.0388542645061437	-0.558946631011436
"17"	"ID42_2_F_CMR13_DSC_0200"	"F"	"CMR13"	"CMR"	25	70	156.5	2.705882353	-0.631195595009713	0.150320156663415	0.0439801573932576	-0.83184131796689
"18"	"ID43_1_F_CMR13_DSC_0191"	"F"	"CMR13"	"CMR"	24	54.6	169.5	2.970588235	-0.0562595378272181	0.147849143526784	0.0544657532096245	-0.4763600812238
"19"	"ID44_2_F_CMR13_DSC_0196"	"F"	"CMR13"	"CMR"	20	94	162	3.117647059	-1.21298064907706	0.14935008190012	0.0718807037710225	-0.278870504360132
"20"	"ID53_1_F_CMR13_DSC_0251"	"F"	"CMR13"	"CMR"	23	53.6	159	3.176470588	-0.0279631479997464	0.1485401306406	0.0633165477562704	-0.199874674420421
"21"	"ID54_2_F_CMR13_DSC_0244"	"F"	"CMR13"	"CMR"	19	67.9	163.5	2.705882353	-0.607671738857802	0.142025541463039	0.0672978142042422	-0.83184131796689
"22"	"ID55_1_F_CMR13_DSC_0239"	"F"	"CMR13"	"CMR"	25	56.9	147.5	2.852941176	0.210936820840812	0.14126454177433	0.0476947984070805	-0.63435174244615
"23"	"ID56_1_F_CMR13_DSC_0247"	"F"	"CMR13"	"CMR"	20	90.1	160	3.058823529	-0.873836742726757	0.145127171132998	0.0679504165748607	-0.35786633564277
"25"	"ID61_2_F_CMR13_DSC_0284"	"F"	"CMR13"	"CMR"	21	50.3	161.5	2.147058824	-0.269680065087795	0.143750585414105	0.0424835241829467	-1.58230170709439
"26"	"ID62_1_F_CMR13_DSC_0275"	"F"	"CMR13"	"CMR"	23	58.2	166.5	2.852941176	-0.904603110285352	0.141984909486779	0.0655335694761314	-0.63435174244615
"27"	"ID63_1_F_CMR13_DSC_0271"	"F"	"CMR13"	"CMR"	19	63.9	162	3.852941176	-0.898768890724432	0.159056860479704	0.0627224056114141	0.708577375929426
"28"	"ID64_2_F_CMR13_DSC_0280"	"F"	"CMR13"	"CMR"	22	75.5	165	2.588235294	-0.567926361578501	0.143571718173326	0.0605487837279045	-0.989832979189239
"29"	"ID65_1_F_CMR13_DSC_0296"	"F"	"CMR13"	"CMR"	22	56.1	160	3.235294118	-0.430994103234282	0.140299524165907	0.0486850319736962	-0.120878843137782
"30"	"ID66_1_F_CMR13_DSC_0300"	"F"	"CMR13"	"CMR"	22	57.8	162	2.617647059	-0.839265975425846	0.143348666978189	0.0650892778766684	-0.95033506354792
"31"	"ID67_2_F_CMR13_DSC_0293"	"F"	"CMR13"	"CMR"	19	62.8	161.5	3.411764706	-0.153477168768483	0.148882379560978	0.0451835904406486	0.116108648024278
"32"	"ID68_2_F_CMR13_DSC_0289"	"F"	"CMR13"	"CMR"	21	79	167	3.764705882	-0.289034968090607	0.14345149674774	0.0423475611262722	0.590083630348396
"34"	"ID73_2_F_CMR13_DSC_DSC_0327"	"F"	"CMR13"	"CMR"	21	49.2	156	3.735294118	-0.0913451052225754	0.145571159109046	0.0617957207961854	0.550585716050006
"35"	"ID74_2_F_CMR13_DSC_DSC_0335"	"F"	"CMR13"	"CMR"	20	63.4	154	2.676470588	-0.113464945613043	0.144440867590406	0.0563149518459609	-0.871339233608209
"36"	"ID75_2_F_CMR13_DSC_DSC_0323"	"F"	"CMR13"	"CMR"	22	57.9	164	2.382352941	-0.482219855920923	0.144545865320049	0.0685267138996891	-1.26631838599262
"37"	"ID76_2_F_CMR13_DSC_DSC_0331"	"F"	"CMR13"	"CMR"	23	59.6	151	2.764705882	-0.715710677467091	0.144413709147543	0.053326527105087	-0.75284548802718
