Rater	F_22_ATTR	F_23_ATTR	F_29_ATTR	F_33_ATTR	F_37_ATTR	F_39_ATTR	F_43_ATTR	F_46_ATTR	F_47_ATTR	F_53_ATTR	F_61_ATTR	F_62_ATTR	F_65_ATTR	F_66_ATTR	F_69_ATTR	F_73_ATTR	F_74_ATTR	F_76_ATTR	F_91_ATTR	F_92_ATTR	F_95_ATTR	F_98_ATTR	F_99_ATTR	F_102_ATTR	F_104_ATTR	F_105_ATTR	F_110_ATTR	F_111_ATTR	F_115_ATTR	F_116_ATTR	F_120_ATTR	F_131_ATTR	F_132_ATTR	F_135_ATTR	F_137_ATTR	F_138_ATTR	F_139_ATTR	F_151_ATTR	F_152_ATTR	F_153_ATTR	F_154_ATTR	F_155_ATTR	F_156_ATTR	F_158_ATTR	F_164_ATTR	F_170_ATTR	F_176_ATTR	F_178_ATTR	F_183_ATTR	F_185_ATTR	F_186_ATTR	F_188_ATTR	F_190_ATTR	F_196_ATTR	F_197_ATTR	F_199_ATTR	F_200_ATTR	F_205_ATTR	F_206_ATTR	F_213_ATTR	F_219_ATTR	F_227_ATTR	F_232_ATTR	F_238_ATTR	F_239_ATTR	F_256_ATTR	F_258_ATTR	F_275_ATTR	F_282_ATTR	F_286_ATTR	F_299_ATTR	F_302_ATTR	F_303_ATTR	F_304_ATTR	F_305_ATTR	F_307_ATTR	F_309_ATTR	F_310_ATTR	F_323_ATTR	F_330_ATTR	F_334_ATTR	F_340_ATTR	F_341_ATTR	F_345_ATTR	F_352_ATTR	F_355_ATTR	F_363_ATTR	F_365_ATTR	F_366_ATTR	F_369_ATTR	F_374_ATTR	F_377_ATTR	F_378_ATTR	F_380_ATTR	F_382_ATTR	F_386_ATTR	F_393_ATTR	F_395_ATTR	F_398_ATTR	F_404_ATTR	F_405_ATTR	F_419_ATTR	F_424_ATTR	F_427_ATTR	F_429_ATTR	F_434_ATTR	F_441_ATTR	F_444_ATTR	F_447_ATTR	F_452_ATTR	F_453_ATTR	F_454_ATTR	F_456_ATTR	F_457_ATTR	F_460_ATTR	F_465_ATTR	F_468_ATTR	F_470_ATTR	F_473_ATTR	F_474_ATTR	F_475_ATTR	F_484_ATTR	F_486_ATTR	F_490_ATTR	F_492_ATTR	F_493_ATTR	F_497_ATTR	F_502_ATTR	F_503_ATTR	F_505_ATTR	F_513_ATTR	F_514_ATTR	F_521_ATTR	F_523_ATTR	F_526_ATTR	F_527_ATTR	F_532_ATTR	F_533_ATTR	F_534_ATTR	F_535_ATTR	F_536_ATTR	F_537_ATTR	F_539_ATTR	F_542_ATTR
TUR910				7																											2					5																																						4					3																																				1																								2	1				
TUR911					3														4				4								5													2																13																						3																																																					3									
TUR912																								2								2																																										3																																											3				1											2											5	
TUR913												2																																																								5																																2											3									6			4										4											
TUR914																																					3																																																		4	7											1																	2								2						1									4					
TUR915										4																																														4					7																6																			4						2																								1		2																
TUR916											6											3																																															1				1								4					1																																2																										7
TUR917															4		4																												4	5							4																																																		4										4																					4										
TUR918						1																							4																			4																	4						4																																				1												4																		4							
TUR919	3																									2							5														3																																	3																									1																										3									1				
TUR920																		1																				3					4								4																											3													4																																																					
TUR921		1						1					1																																																																							2						5																									2														1															
TUR922																																			2																	2																								2													2			2						5																													2																	
TUR923											4										2																																																								4		6							2							3																																																			
TUR924													2																																																	3							1		4																															4			3											5											6																	
TUR925					4																	6																		3																		3																								5																			3																													2														
TUR926			2																																	3	2																						2																																					3																			2											1																		
TUR927							3			3																					3																		4															1											6																						1																																					3										
TUR928																			3	2			2			2																																		3																				2									4										3																																													
TUR929																																											5																																			5																				6										5				2	4																3															
TUR930	1																								6															6		1																																																																								3								2			5																		6	
TUR931															1			2			1							7																																																								1						4																				7													1																					
TUR932																																		2																						3					2																							3							4									1																								2									2											
TUR933	3								3			3																		4																																																														2														3																3																	4					
TUR934																																						1													1				4																																																														6								1											3					1			5
TUR935																		1																							5													4											2					1																																					2																														5							
TUR936		1				1																			5																									3																6		4																										1																	4																																	
TUR937												2	1																				5												2											4	1																																																			2																												7								
TUR938																					2																				3					3																																	3																																			3					1																							4		4
TUR939																	2																							1														5																														1				7																		5																										5							7					
TUR940	1				6											1																												2																7																					1														1		6																																															
TUR941							9																											1														1																	3			2									2	3																																																																		
TUR942																						4									2				2																2													3																																																										2							3				2											
TUR943				6				5							4			2		6																																																																							5																																								4													
TUR944		1								2																																																												2																1																	3																									4										4						
TUR945																													4																																											5																						6													4			5							6				3																							
TUR946			3			9																		3																																						2																														4																				2															4			2														
TUR947																							1					4											1																								1																										1															5							3																										3							
TUR948																																											1																1																								5													5																											2																					
TUR949				4																												4						5																																											4													3					4																																				3									
TUR950	3							3		3				3																																																3																								3																																																										
TUR951							1																																										2																		2						1																																											3																				7								
TUR952												1																												1			1																	1																							1				2									1																			1																													
TUR953																	2						4	5																																		3							4																				4																		5																																							4		
TUR954																		2												3																											1							1													7											5																							3	4																																
TUR955					3								1																																					5																			1													5		4																4						7																																						
TUR956									2																												4																																	1																																			2														5			1	5																					
TUR957																												6																															1																				7													1										5					1																						2		2													
TUR958																4																														3						5																			6									5											6																						3																															
TUR959			1																															1	3			1	1																																																		1																					2																						1												
TUR960																			3												5																						4																							5																																	4																								3						6	4				
TUR961																																									3																															1																					1								1																								1												3				1			1
TUR962	2																										6		4									7																								5																														3		5																																											7							
TUR963																											2									6																																2																						6					1													2																										1									1	
TUR964														7							1																	6																																																						2															1							1											1							2												
TUR965																																																							7																														1																																																				7							
TUR966					1								1					1				3																																																																				3												1											2												1																			
TUR967																											1											5			2																																					2											1										2															2				1																										
TUR968															2																																							5																																		4			4					4																																				4							6			4		
TUR969																						7																																																		3						3				1																6						2																										1										5				
TUR970																						7																				2											4													6							1													1																																									1																5	
TUR971	3		2																					5																	2																																																																											3														4					2								5	
TUR972																											5												2												3																2								3																															3							2																															
TUR973																																			3	5				2																				4																3																																								3								5		1																		
TUR974				5										5																									3											4																				2											5									5																																																					4	
TUR975																1																																											1								1																																							2								3																												5		2
TUR976												3																											4					4																											4							4						4														5																																														
TUR977													1							2											2		4																																						1						6																						3																																													
TUR978		1																																	5										4	2																		1			2																																				2																															1										
TUR979	2					3																																																																												2												2				2														5										5													4									
TUR980						9														3			2																																											5																									5																																		2											5								
TUR981																3																																	3							5	2							3						3																													6																																				2									
TUR982																																					6																													6	2			2																				5																			4									1							1																			
TUR983	1													2																																3																1																																1	1																						5																											
TUR984																				2																																																		1	4																												2									1																				1											6			5		
TUR985								1					1																																									7									5				4																										1																										3					7																				
TUR986																								4																4							3																															2																				4																1																					6									
TUR987	1																																																					3								1											1										1																																											1																		
TUR988															2																			2		3			3																															2						4															3																																												5									
TUR989														1					1								2				2																												1																			1																								2																												1														
TUR990									5																		3			4										3																											3							6																																	2							5																														
TUR991											3							2																													2																								2																					3															2																	3	2																			
TUR992						3																	3														6																			4							3																																	3																			3												4																	
TUR993							9																	6															1																																5					3																	3																																																			
TUR994																																			7											7															7									3			2																																									4																						7		5						
TUR995																		2	1			7																												1																																				1																				5			1																										2									
TUR996																																									3									1		2															2		1	1																											5			1																																												
TUR997												3													4																																							5																			5															4															2											5											4									
TUR998																																																																																							2			4				1																									1						1											5		2						
TUR999			1																													1																									2					1																															5																			3		2																						5								
TUR1000																						5													2																									2																			4						1				1												1							2																																				
TUR1001																																																						1				1		1																														3																		1					1																	1														
TUR1002				2																																																													2																										5													2				2		3	2								2																									
TUR1003																																																																		5										2									3						5	1						4																																							4					4		
TUR1004			1														1											1															1																																3											1	1													1																																												
TUR1005																																4				5										4																						3																																							2													2																								3
TUR1006								4																				4													3																																																			4															1									5						3																		5				
TUR1007				1						1																																					1		1																						1																							1																		1																								4								
TUR1008																																2																		1											3							5																		1			3																															1																								
TUR1009						9			2								2																																																																																		2							2					2														2															2				
TUR1010													2																																																														5									5																															4	5	7											6							4									
TUR1011																																							1															3				1											1																								2										3																									1																
TUR1012						3																																										4																																			5								6																	2									2									3											4							
TUR1013															5																6					5						4					5																						3						5																																														4																							
TUR1014																																															1												1					1															7									5							1																						7																						7					
TUR1015																						5																	3																			3						6													4	4																																	3			4																														
TUR1016						1			1																																																																															1															1																													1			1						1			
TUR1017																		1																				1											1				6																							1																					1														1								1																									
TUR1018																																	5										4																																		7				5																				3													6																				3									4	
TUR1019												3										6																						3																			4					4										6					5																							4																																						
TUR1020														3																																														2									1																																																											1						1			2							2
TUR1021			1																																			4																							1														1													4																																											1													
TUR1022			3																															3															3																																		5																							5						4													3																2			
TUR1023	1																												3											6							2													13																				1																																						3												4														
TUR1024																		1													7																						2					1																										7																			2	2				6																																				
TUR1025			2																															1	5																																												6						5																																																				6						3	
TUR1026															2																				4														4																					1										1											3																			5					4																													
TUR1027																		1																									5																																																					6														6								1	3																							6		
TUR1028	3																																									5								6							2	2					3																						4										3																																																	
TUR1029								4			4																				3														4																																5																	6							3																																	6										
TUR1030								4																5																																									5		3			2																																																					2																					
TUR1031															4										3											7																						1										1							5												2																																																									3
TUR1032		1																							3											5			1			1			3																																								4										2																																																	
TUR1033																															4							1																	1			5																																															1							1																									2					2		
TUR1034															5				6																							3														4			4		5																										5																																										2															
TUR1035													1								2																																																							4																															1			6											3				1																			
TUR1036		2				9																																					1																																																																2	3							2					2												3												
TUR1037					1				1																																											1		3																																																2										2					5																1											
TUR1038																		2							2			3									2																													3														2																	2																																															
TUR1039							9	3																																								4								3									4																								1																										3																												2	
TUR1040			3																																																3	3																																																																	7								2															5	5			6
TUR1041																																	4										1				1																3																			2																															2																3															
TUR1042		3				9																																																				1		4																																																														6							6														7	
TUR1043					1										4																																																															4	5													1																3							2								1																					
TUR1044							9					1								4																																																			3																					3								4																														2														
TUR1045							3																																								4																3					7																																							1																1									3									1			
TUR1046												1				1							6																													1								13										1																																			3																																							
TUR1047				7																						6					4																														5																																										7																5															4										
TUR1048												4							5															5											5						5										6																																	4																															4																			
TUR1049																																							1										1																				1																															1															2											1										6								
TUR1050									2																					3																	5		1													1																															7																																									7										
TUR1051										2																														3									1							2								1																																								7																																			5			7		
TUR1052	1				1																																			3																																		5					6																																			1																	1			2										
TUR1053									2														1														4																																1		3																	4													1																															2												
TUR1054																															1																	1																			1																																1																1																					1		1						
TUR1055																	1			1						1											3																																	1												4												2																																		1																
TUR1056			1			1																																														2																																		1																																1							1						2													
TUR1057																		1				4			6																									7																																													1	2				3																																	2											
TUR1058																											3							2			2					2																																4																																																														5		2			3			
TUR1059						1																							1								1																	1												1																																																				1	1		1																							
TUR1060											2												1								2	1																																																																									2									3																	2						3							
TUR1061	2																											5						2												6																																														3	3																					4														2																
TUR1062										3																																									4																						2							5																												3																													6				3			
TUR1063									2										2																																																																															5	5																														3						6									
TUR1064																																		3																												3																	5																	3											3																																					
TUR1065						5		6										4								5																								5																																																							5		5														6																							
TUR1066		2																																																				2								1																2																								3																		4		6																				5		
TUR1067																					3																																	4															2														4									2																																				2		3														
TUR1068		1																																																					4						3																																					2														1															1				1													
TUR1069										3	2														3																																																																																										2					2																		4	6					
TUR1070														6																														2														2																																		3																										2		2												3												
TUR1071																	2																6									1												6				1																		4						1																														3																																
TUR1072																																																						7								1																						2						5																							1																															
TUR1073			2											5																												2																																															4				4																													5																						4
TUR1074								4																																										4				5																		2																				4													1																					2																		
TUR1075									2							2																								2	3																1		2																																													7										2																														
TUR1076														6																																			5																																																												3							3										2																		
TUR1077																										5																																																	2																						4																				7	2		2							2								4									
TUR1078														5																		3			4																								2																	3												5																																														3										
TUR1079							6				5									5																																	5						4																																																									6																										6		
TUR1080		2																												5					4																																																									3						3								1					4																						5											
TUR1081														3																																							4																						2											1		5																			1					4											1																					
TUR1082																																						5																																					3															4													2												2																					5								
TUR1083								3								1																			5							2																														4		6																																															2														1									
TUR1084																																			3																																												4						4		4		4							3																																					6							3				
TUR1085				3															1																										2				2																																																				1																											1			1	2												
TUR1086				3						2																2															3																																												5																									2							3					2																						
TUR1087																																																																																																																																																
TUR1088																																																																																																																																																
TUR1089																																																																																																																																																
TUR1090																																																																																																																																																
TUR1091																																																																																																																																																
TUR1092																																																																																																																																																
TUR1093																																																																																																																																																
TUR1094																																																																																																																																																
TUR1095																																																																																																																																																
TUR1096																																																																																																																																																
TUR1097																																																																																																																																																
TUR1098		1				1																			2								3									2									2												2			3																																																																														
TUR1099																																																																																																																																																
TUR1100																																																																																																																																																
TUR1101																																																																																																																																																
TUR1102																																																																																																																																																
TUR1103																																																																																																																																																
TUR1104																																																																																																																																																
TUR1105																																																																																																																																																
TUR1106																																																																																																																																																
TUR1107																																																																																																																																																
TUR1108																																																																																																																																																
TUR1109																																																																																																																																																
TUR1110																																																																																																																																																
TUR1111															2										3													3												2																		2																					2					2										4																																								
TUR1112																																																																																																																																																
TUR1113					3																															6																					2																							3																		4																																		5										6		
TUR1114																																																																																																																																																
TUR1115																																																																																																																																																
TUR1116																																																																																																																																																
TUR1117																																																																																																																																																
TUR1118						9						1																	3				4																					4																																																				3				3				3																														
TUR1119																																																																																																																																																
TUR1120																																																																																																																																																
TUR1121																																																																																																																																																
TUR1122																																																																																																																																																
TUR1123																																																																																																																																																
TUR1124																																																																																																																																																
TUR1125																																																			2					3																									2																							4									1			2				1											1													
TUR1126																																																																																																																																																
TUR1127					1													1					1														2			1									1																																																																									2								2														
TUR1128				5			5																																																	4		2																											5			7																																											4													
TUR1129																																																																																																																																																
TUR1130																																																																																																																																																
TUR1131												2																			4																															4		2	2																																																																	4														
TUR1132																																																																																																																																																
TUR1133																																																																																																																																																
TUR1134																																																																																																																																																
TUR1135									5									1																		4											3																2									4																																6											3																													
TUR1136																																																																																																																																																
TUR1137																																																																																																																																																
TUR1138	1	1																									2	1																																																																										2							2				1																															
TUR1139																																																																																																																																																
TUR1140																																																																																																																																																
TUR1141																																																																																																																																																
TUR1142																																																																																																																																																
TUR1143																																																																																																																																																
TUR1144																																																																																																																																																
TUR1145																																																																																																																																																
TUR1146																																																																																																																																																
TUR1147																																																																																																																																																
TUR1148				4									1										1																															5																																																	3																						1														4					
TUR1149							3		2							2								3																															5																																2																												2																						2							
TUR1150																																																																																																																																																
TUR1151																																																																																																																																																
TUR1152																																																																																																																																																
TUR1153																																																																																																																																																
TUR1154																																																																																																																																																
TUR1155																																										1						1																		4															2																																																	1						5			3					
TUR1156																																																																																																																																																
TUR1157																																																																																																																																																
TUR1158																																																																																																																																																
TUR1159						1																																					1						1								1										1																																																																				1									
TUR1160																																																																																																																																																
TUR1161																																																																																																																																																
TUR1162									1																							1																																									1		3													4																	1																													1							1			
TUR1163																																																																																																												3																																				
TUR1164																																																																																																																																																
TUR1165																																																																																																																																																
TUR1166	4														4									4							3																																																	5																	6																													3																		
TUR1167																																																																																																																																																
TUR1168																																																																																																																																																
TUR1169																																																																																																																																																
TUR1170																																																																																																																																																
TUR1171																																																																																																																																																
TUR1172																																																																																																																																																
TUR1173															3																							5							4																										3									1											4																																				2									7								
TUR1174												2																4																1																																						3																	3				3																1												1													
TUR1175																				1	1	1					1																										1																																		1												3																																										1			
TUR1176																																																																																																																																																
TUR1177											1				2																																1	1						2		1																																																1										1																														
TUR1178								4											3																																																																	5																3		4										5									4																							
TUR1179											2																													1																																						2																																						1		1						4									1											
TUR1180																3			2																					2																																														2																														5														2							4			2				
TUR1181																			1											1					1																																						1		2																											1											1																											1				
TUR1182														5														2	3												4																																							1			2																			1																				3																						
TUR1183																																																																																																																																																
TUR1184								3											1																																		5																																																																																											
TUR1185														3																																								3																																							1							2	1																																					3						
TUR1186							3															7			3				1					1						3																																													9																																																											
TUR1187																																																																																																																																																
TUR1188																													4														1											5																															1																												1				7											1															3	
TUR1189																	2																																						5									1																			3		9																								3																	1											4							
TUR1190																																																																																																																																																
TUR1191																																																																																																																																																
TUR1192																																																																																																																																																
TUR1193					9			4																						5															1										5																																				4														1																4																							
TUR1194																1															6																					1																										2							9																															4			2																					6				
